array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
125000;56;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2581700;83353;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;57;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959130;972340;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;57;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2492085;83283;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;58;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959105;972198;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;58;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2529275;83368;Sat Sep 23 21:58:13 BRT 2023;9.0
125000;59;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959332;972421;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;59;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2527322;83355;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;60;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959089;972048;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;60;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2635973;83332;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;61;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959403;972902;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;61;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2560218;83478;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;62;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959213;972447;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;62;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2567648;83180;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;63;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959329;972473;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;63;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2663823;83331;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;64;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959319;972639;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;64;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2682426;83379;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;65;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959300;972374;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;65;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2504845;83377;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;66;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959220;972398;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;66;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2557702;83238;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;67;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959217;972321;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;67;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2490098;83382;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;68;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1958954;972449;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;68;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2568907;83364;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;69;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959209;972420;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;69;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2490318;83285;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;70;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959135;973115;Sat Sep 23 21:58:13 BRT 2023;15.0
125000;70;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2584454;83359;Sat Sep 23 21:58:13 BRT 2023;9.0
125000;71;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959483;971646;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;71;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2580570;83233;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;72;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1958918;972399;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;72;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2624553;83400;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;73;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959151;972660;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;73;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2534373;83344;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;74;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959204;972261;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;74;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2561005;83343;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;75;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959320;972872;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;75;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2604159;83249;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;76;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959474;972462;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;76;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2567444;83333;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;77;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1958910;972106;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;77;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2591633;83307;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;78;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1958779;972417;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;78;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2538816;83282;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;79;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959114;972822;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;79;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2488052;83398;Sat Sep 23 21:58:13 BRT 2023;7.0
125000;80;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1958963;972144;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;80;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2575486;83421;Sat Sep 23 21:58:13 BRT 2023;6.0
125000;81;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959527;972208;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;81;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2517913;83307;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;82;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959804;972156;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;82;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2596297;83369;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;83;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959686;972795;Sat Sep 23 21:58:13 BRT 2023;13.0
125000;83;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2569269;83375;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;84;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959499;972794;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;84;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2538214;83274;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;85;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959221;972585;Sat Sep 23 21:58:13 BRT 2023;12.0
125000;85;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2581560;83261;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;86;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959211;972479;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;86;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2732854;83301;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;87;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959490;972697;Sat Sep 23 21:58:13 BRT 2023;11.0
125000;87;QuickSort;Sat Sep 23 21:58:13 BRT 2023;2608310;83368;Sat Sep 23 21:58:13 BRT 2023;8.0
125000;88;MergeSort;Sat Sep 23 21:58:13 BRT 2023;1959648;972416;Sat Sep 23 21:58:13 BRT 2023;11.0
